CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_Complexity,,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT
HypergeometricDistribution,1,27,28,0.964285714,2,74,76,0.973684211,2,31,33,HypergeometricDistribution,62,0,1,1,2
TDistribution,1,13,14,0.928571429,0,47,47,1,1,22,23,TDistribution,45,0,0,5,1
AbstractMultivariateRealDistribution,1,3,4,0.75,2,12,14,0.857142857,1,5,6,AbstractMultivariateRealDistribution,7,0,0,1,0
EnumeratedIntegerDistribution,0,24,24,1,0,43,43,1,0,22,22,EnumeratedIntegerDistribution,34,0,0,3,0
PascalDistribution,3,9,12,0.75,4,34,38,0.894736842,4,14,18,PascalDistribution,42,0,1,1,0
GeometricDistribution,2,8,10,0.8,3,27,30,0.9,4,12,16,GeometricDistribution,28,0,2,2,0
BinomialDistribution,3,21,24,0.875,4,29,33,0.878787879,4,20,24,BinomialDistribution,39,0,1,0,0
CauchyDistribution,0,10,10,1,6,30,36,0.833333333,4,19,23,CauchyDistribution,30,0,2,3,0
KolmogorovSmirnovDistribution,12,36,48,0.75,16,59,75,0.786666667,13,18,31,KolmogorovSmirnovDistribution,71,0,15,16,4
MixtureMultivariateNormalDistribution,0,2,2,1,2,9,11,0.818181818,1,4,5,MixtureMultivariateNormalDistribution,4,0,0,0,0
GumbelDistribution,3,7,10,0.7,5,24,29,0.827586207,5,14,19,GumbelDistribution,26,0,8,5,0
UniformIntegerDistribution,0,16,16,1,1,29,30,0.966666667,1,17,18,UniformIntegerDistribution,39,0,1,3,3
NormalDistribution,0,12,12,1,2,46,48,0.958333333,2,27,29,NormalDistribution,51,0,2,4,0
PoissonDistribution,4,40,44,0.909090909,8,99,107,0.925233645,7,32,39,PoissonDistribution,99,0,3,32,2
ParetoDistribution,1,13,14,0.928571429,5,39,44,0.886363636,3,24,27,ParetoDistribution,49,0,0,6,1
LogNormalDistribution,2,16,18,0.888888889,2,58,60,0.966666667,3,28,31,LogNormalDistribution,64,0,0,10,1
AbstractIntegerDistribution,9,35,44,0.795454545,9,56,65,0.861538462,9,23,32,AbstractIntegerDistribution,37,0,3,15,9
LevyDistribution,3,7,10,0.7,7,26,33,0.787878788,6,14,20,LevyDistribution,34,0,5,5,0
LaplaceDistribution,3,11,14,0.785714286,5,24,29,0.827586207,5,16,21,LaplaceDistribution,28,0,6,13,0
AbstractRealDistribution,5,39,44,0.886363636,6,62,68,0.911764706,7,26,33,AbstractRealDistribution,47,0,1,12,4
MultivariateNormalDistribution,6,22,28,0.785714286,10,49,59,0.830508475,6,16,22,MultivariateNormalDistribution,44,0,4,3,0
WeibullDistribution,4,18,22,0.818181818,7,61,68,0.897058824,7,24,31,WeibullDistribution,57,0,4,5,0
EnumeratedRealDistribution,3,31,34,0.911764706,1,58,59,0.983050847,3,28,31,EnumeratedRealDistribution,47,0,0,3,0
ConstantRealDistribution,0,8,8,1,1,16,17,0.941176471,1,16,17,ConstantRealDistribution,15,0,1,2,0
EuclideanDoublePoint,1,7,8,0.875,2,16,18,0.888888889,2,9,11,EuclideanDoublePoint,14,0,2,1,0
EuclideanIntegerPoint,1,7,8,0.875,2,16,18,0.888888889,2,9,11,EuclideanIntegerPoint,14,0,2,1,0
Cluster,0,0,0,100,0,8,8,1,0,4,4,Cluster,3,0,0,0,0
DBSCANClusterer.PointStatus,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
KMeansPlusPlusClusterer.EmptyClusterStrategy,0,0,0,100,0,5,5,1,0,1,1,#N/A,0,0,0,0,0
KMeansPlusPlusClusterer,14,78,92,0.847826087,8,158,166,0.951807229,12,45,57,KMeansPlusPlusClusterer,97,0,35,58,3
DBSCANClusterer,0,28,28,1,0,53,53,1,0,21,21,DBSCANClusterer,54,0,0,6,0
AlternativeHypothesis,0,0,0,100,0,4,4,1,0,1,1,#N/A,0,0,0,0,0
TestUtils,0,0,0,100,11,44,55,0.8,11,40,51,TestUtils,39,0,11,0,0
WilcoxonSignedRankTest,2,34,36,0.944444444,5,55,60,0.916666667,3,24,27,WilcoxonSignedRankTest,60,0,0,7,2
ChiSquareTest,8,56,64,0.875,4,101,105,0.961904762,8,35,43,ChiSquareTest,106,0,0,16,0
GTest,6,50,56,0.892857143,2,85,87,0.977011494,6,33,39,GTest,99,0,0,10,0
OneWayAnova.AnovaStats,0,0,0,100,0,5,5,1,0,1,1,#N/A,0,0,0,0,0
MannWhitneyUTest,0,10,10,1,3,31,34,0.911764706,1,11,12,MannWhitneyUTest,31,0,0,3,0
OneWayAnova,2,18,20,0.9,2,55,57,0.964912281,2,15,17,OneWayAnova,38,0,0,7,0
KolmogorovSmirnovTest,70,96,166,0.578313253,90,214,304,0.703947368,56,50,106,KolmogorovSmirnovTest,287,0,98,58,7
TTest,1,23,24,0.958333333,5,98,103,0.951456311,2,41,43,TTest,100,0,3,24,0
BinomialTest,7,19,26,0.730769231,7,30,37,0.810810811,7,10,17,BinomialTest,20,0,4,8,2
HarmonicCurveFitter.ParameterGuesser,2,28,30,0.933333333,1,95,96,0.989583333,2,18,20,#N/A,0,0,0,0,0
GaussianFitter.new Gaussian.Parametric() {...},0,0,0,100,1,10,11,0.909090909,0,3,3,#N/A,0,0,0,0,0
PolynomialCurveFitter,1,3,4,0.75,2,26,28,0.928571429,2,6,8,PolynomialCurveFitter,7,0,1,0,0
AbstractCurveFitter.TheoreticalValuesFunction.new MultivariateVectorFunction() {...},0,2,2,1,0,6,6,1,0,3,3,#N/A,0,0,0,0,0
AbstractCurveFitter.TheoreticalValuesFunction.new MultivariateMatrixFunction() {...},0,2,2,1,0,6,6,1,0,3,3,#N/A,0,0,0,0,0
WeightedObservedPoint,0,0,0,100,0,8,8,1,0,4,4,WeightedObservedPoint,6,0,0,0,0
GaussianFitter.ParameterGuesser.new Comparator() {...},15,5,20,0.25,13,7,20,0.35,10,2,12,#N/A,0,0,0,0,0
HarmonicFitter.ParameterGuesser,2,28,30,0.933333333,1,93,94,0.989361702,2,18,20,#N/A,0,0,0,0,0
SimpleCurveFitter,0,2,2,1,3,24,27,0.888888889,2,4,6,SimpleCurveFitter,4,0,2,0,0
GaussianCurveFitter.ParameterGuesser.new Comparator() {...},15,5,20,0.25,13,7,20,0.35,10,2,12,#N/A,0,0,0,0,0
GaussianFitter,0,0,0,100,0,6,6,1,0,3,3,GaussianFitter,104,0,38,36,0
AbstractCurveFitter.TheoreticalValuesFunction,0,2,2,1,0,11,11,1,0,4,4,#N/A,0,0,0,0,0
AbstractCurveFitter,0,0,0,100,0,3,3,1,0,3,3,AbstractCurveFitter,14,0,0,0,0
CurveFitter.TheoreticalValuesFunction,0,0,0,100,0,5,5,1,0,3,3,#N/A,0,0,0,0,0
GaussianCurveFitter,0,4,4,1,0,28,28,1,0,8,8,GaussianCurveFitter,57,0,19,18,0
PolynomialFitter,0,0,0,100,1,3,4,0.75,1,2,3,PolynomialFitter,2,0,4,0,0
HarmonicFitter,0,0,0,100,0,4,4,1,0,3,3,HarmonicFitter,140,0,0,56,0
CurveFitter.TheoreticalValuesFunction.new MultivariateMatrixFunction() {...},0,2,2,1,0,7,7,1,0,3,3,#N/A,0,0,0,0,0
CurveFitter.TheoreticalValuesFunction.new MultivariateVectorFunction() {...},0,2,2,1,0,7,7,1,0,3,3,#N/A,0,0,0,0,0
GaussianCurveFitter.new Gaussian.Parametric() {...},0,0,0,100,0,11,11,1,0,3,3,#N/A,0,0,0,0,0
GaussianFitter.ParameterGuesser,6,28,34,0.823529412,5,55,60,0.916666667,6,19,25,#N/A,0,0,0,0,0
WeightedObservedPoints,0,0,0,100,0,11,11,1,0,6,6,WeightedObservedPoints,3,0,0,0,0
HarmonicCurveFitter,0,4,4,1,1,27,28,0.964285714,1,7,8,HarmonicCurveFitter,74,0,1,28,0
GaussianCurveFitter.ParameterGuesser,6,28,34,0.823529412,5,55,60,0.916666667,6,19,25,#N/A,0,0,0,0,0
CurveFitter,0,2,2,1,2,26,28,0.928571429,1,8,9,CurveFitter,29,0,13,0,0
Target,0,0,0,100,0,4,4,1,0,2,2,Target,2,0,0,0,0
PointValuePair,2,4,6,0.666666667,0,10,10,1,2,6,8,PointValuePair,12,0,0,2,0
MultivariateMultiStartOptimizer,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
PointValuePair.DataTransferObject,0,0,0,100,0,5,5,1,0,2,2,#N/A,0,0,0,0,0
SimpleValueChecker,1,9,10,0.9,3,16,19,0.842105263,2,7,9,SimpleValueChecker,22,0,0,4,0
SimplePointChecker,2,10,12,0.833333333,3,21,24,0.875,3,7,10,SimplePointChecker,30,0,0,4,0
LeastSquaresConverter,3,15,18,0.833333333,3,35,38,0.921052632,3,10,13,LeastSquaresConverter,52,0,0,0,0
BaseMultivariateVectorMultiStartOptimizer,3,11,14,0.785714286,5,30,35,0.857142857,4,10,14,BaseMultivariateVectorMultiStartOptimizer,15,0,2,16,0
SimpleVectorValueChecker,0,12,12,1,3,21,24,0.875,1,9,10,SimpleVectorValueChecker,30,0,0,4,0
DifferentiableMultivariateMultiStartOptimizer,0,0,0,100,2,0,2,0,1,0,1,#N/A,0,0,0,0,0
BaseMultivariateMultiStartOptimizer,5,9,14,0.642857143,8,25,33,0.757575758,6,8,14,BaseMultivariateMultiStartOptimizer,15,0,4,7,0
AbstractConvergenceChecker,0,0,0,100,4,8,12,0.666666667,1,4,5,AbstractConvergenceChecker,4,0,0,0,0
Weight,2,0,2,0,6,4,10,0.4,2,2,4,Weight,2,0,2,0,0
PointVectorValuePair.DataTransferObject,0,0,0,100,0,5,5,1,0,2,2,#N/A,0,0,0,0,0
MultivariateDifferentiableVectorMultiStartOptimizer,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
BaseMultivariateVectorMultiStartOptimizer.new Comparator() {...},2,6,8,0.75,1,11,12,0.916666667,2,5,7,#N/A,0,0,0,0,0
BaseMultivariateMultiStartOptimizer.new Comparator() {...},5,3,8,0.375,2,7,9,0.777777778,4,2,6,#N/A,0,0,0,0,0
MultivariateDifferentiableMultiStartOptimizer,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
InitialGuess,0,0,0,100,0,4,4,1,0,2,2,InitialGuess,2,0,0,0,0
SimpleBounds,0,0,0,100,0,6,6,1,0,3,3,SimpleBounds,7,0,0,0,0
GoalType,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
DifferentiableMultivariateVectorMultiStartOptimizer,0,0,0,100,2,0,2,0,1,0,1,#N/A,0,0,0,0,0
PointVectorValuePair,3,9,12,0.75,0,13,13,1,3,10,13,PointVectorValuePair,20,0,0,4,0
NaturalRanking,2,54,56,0.964285714,13,118,131,0.900763359,5,44,49,NaturalRanking,71,0,1,4,0
NaNStrategy,0,0,0,100,0,6,6,1,0,1,1,#N/A,0,0,0,0,0
TiesStrategy,0,0,0,100,0,6,6,1,0,1,1,#N/A,0,0,0,0,0
NaturalRanking.IntDoublePair,0,0,0,100,0,7,7,1,0,4,4,#N/A,0,0,0,0,0
SumOfSquares,1,3,4,0.75,3,27,30,0.9,2,9,11,SumOfSquares,15,0,1,3,0
Product,2,6,8,0.75,3,34,37,0.918918919,3,12,15,Product,21,0,1,3,0
SumOfLogs,1,3,4,0.75,3,27,30,0.9,2,9,11,SumOfLogs,13,0,1,3,0
Sum,2,6,8,0.75,4,33,37,0.891891892,4,11,15,Sum,21,0,2,3,0
NeuronSquareMesh2D,8,111,119,0.932773109,8,118,126,0.936507937,11,58,69,NeuronSquareMesh2D,127,0,4,5,0
NeuronSquareMesh2D.SerializationProxy,0,0,0,100,0,7,7,1,0,2,2,#N/A,0,0,0,0,0
PolynomialFunctionNewtonForm,3,15,18,0.833333333,7,44,51,0.862745098,5,14,19,PolynomialFunctionNewtonForm,41,0,4,6,0
PolynomialFunctionLagrangeForm,3,31,34,0.911764706,15,73,88,0.829545455,5,22,27,PolynomialFunctionLagrangeForm,83,0,10,6,0
PolynomialsUtils.JacobiKey,4,4,8,0.5,1,8,9,0.888888889,4,3,7,#N/A,0,0,0,0,0
PolynomialSplineFunction,11,19,30,0.633333333,10,37,47,0.787234043,8,16,24,PolynomialSplineFunction,43,0,12,0,0
PolynomialsUtils,0,20,20,1,0,72,72,1,0,19,19,PolynomialsUtils,95,0,1,9,0
PolynomialFunction,16,46,62,0.741935484,26,83,109,0.76146789,15,33,48,PolynomialFunction,88,0,24,12,0
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,0,100,0,3,3,1,0,2,2,#N/A,0,0,0,0,0
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,0,100,0,3,3,1,0,2,2,#N/A,0,0,0,0,0
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,0,100,0,8,8,1,0,2,2,#N/A,0,0,0,0,0
PolynomialsUtils.new PolynomialsUtils.RecurrenceCoefficientsGenerator() {...},0,0,0,100,0,3,3,1,0,2,2,#N/A,0,0,0,0,0
PolynomialFunction.Parametric,0,2,2,1,0,8,8,1,0,4,4,#N/A,0,0,0,0,0
AklToussaintHeuristic,3,41,44,0.931818182,2,44,46,0.956521739,3,22,25,AklToussaintHeuristic,19,0,2,24,0
MonotoneChain,4,28,32,0.875,2,50,52,0.961538462,5,16,21,MonotoneChain,39,0,0,9,0
ConvexHull2D,2,28,30,0.933333333,1,53,54,0.981481481,2,19,21,ConvexHull2D,36,0,0,1,0
MonotoneChain.new Comparator() {...},0,2,2,1,0,6,6,1,0,3,3,#N/A,0,0,0,0,0
AbstractConvexHullGenerator2D,0,2,2,1,0,16,16,1,0,6,6,AbstractConvexHullGenerator2D,5,0,0,1,0
BigFractionFormat,2,19,21,0.904761905,8,54,62,0.870967742,7,18,25,BigFractionFormat,28,0,4,6,0
FractionField,0,0,0,100,0,5,5,1,0,5,5,FractionField,5,0,0,0,0
FractionField.LazyHolder,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
FractionConversionException,0,0,0,100,0,4,4,1,0,2,2,#N/A,0,0,0,0,0
BigFractionField,0,0,0,100,0,5,5,1,0,5,5,BigFractionField,5,0,0,0,0
FractionFormat,1,12,13,0.923076923,8,43,51,0.843137255,7,14,21,FractionFormat,18,0,5,5,0
ProperBigFractionFormat,4,23,27,0.851851852,9,58,67,0.865671642,5,16,21,ProperBigFractionFormat,26,0,6,8,0
BigFraction,10,92,102,0.901960784,14,229,243,0.942386831,11,95,106,BigFraction,130,0,6,21,1
AbstractFormat,3,9,12,0.75,5,33,38,0.868421053,5,14,19,AbstractFormat,17,0,1,4,0
ProperFractionFormat,4,15,19,0.789473684,9,54,63,0.857142857,5,12,17,ProperFractionFormat,26,0,6,7,0
BigFractionField.LazyHolder,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
Fraction,8,90,98,0.918367347,5,179,184,0.972826087,8,73,81,Fraction,122,0,2,19,1
LearningFactorFunctionFactory,0,8,8,1,0,6,6,1,0,6,6,LearningFactorFunctionFactory,12,0,0,0,0
KohonenUpdateAction,1,9,10,0.9,1,40,41,0.975609756,2,9,11,KohonenUpdateAction,6,0,1,3,3
LearningFactorFunctionFactory.new LearningFactorFunction() {...},0,0,0,100,0,3,3,1,0,2,2,#N/A,0,0,0,0,0
LearningFactorFunctionFactory.new LearningFactorFunction() {...},0,0,0,100,0,3,3,1,0,2,2,#N/A,0,0,0,0,0
NeighbourhoodSizeFunctionFactory.new NeighbourhoodSizeFunction() {...},0,0,0,100,0,3,3,1,0,2,2,#N/A,0,0,0,0,0
NeighbourhoodSizeFunctionFactory.new NeighbourhoodSizeFunction() {...},0,0,0,100,0,3,3,1,0,2,2,#N/A,0,0,0,0,0
NeighbourhoodSizeFunctionFactory,0,0,0,100,0,2,2,1,0,2,2,NeighbourhoodSizeFunctionFactory,4,0,0,0,0
KohonenTrainingTask,0,2,2,1,0,8,8,1,0,3,3,KohonenTrainingTask,2,0,0,0,0
OrderedCrossover,0,14,14,1,0,37,37,1,0,10,10,OrderedCrossover,12,0,0,5,0
ChromosomePair,0,0,0,100,1,6,7,0.857142857,1,3,4,ChromosomePair,2,0,1,0,0
FixedElapsedTime,1,5,6,0.833333333,3,8,11,0.727272727,2,4,6,FixedElapsedTime,5,0,0,3,0
InvalidRepresentationException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
RandomKey,3,29,32,0.90625,4,63,67,0.940298507,4,24,28,RandomKey,40,0,2,1,3
TournamentSelection,1,3,4,0.75,5,13,18,0.722222222,3,4,7,TournamentSelection,7,0,2,1,0
BinaryMutation,1,3,4,0.75,1,8,9,0.888888889,1,3,4,BinaryMutation,3,0,0,0,0
BinaryChromosome,1,15,16,0.9375,1,22,23,0.956521739,1,12,13,BinaryChromosome,16,0,1,1,1
Chromosome,1,7,8,0.875,1,15,16,0.9375,2,8,10,Chromosome,8,0,1,0,0
RandomKeyMutation,1,1,2,0.5,2,8,10,0.8,1,2,3,RandomKeyMutation,2,0,0,0,0
ElitisticListPopulation,0,6,6,1,0,20,20,1,0,8,8,ElitisticListPopulation,12,0,0,3,0
OnePointCrossover,3,7,10,0.7,2,18,20,0.9,3,5,8,OnePointCrossover,13,0,0,0,0
TournamentSelection.new ListPopulation() {...},0,0,0,100,1,1,2,0.5,1,1,2,#N/A,0,0,0,0,0
CycleCrossover,1,21,22,0.954545455,2,42,44,0.954545455,2,14,16,CycleCrossover,11,0,1,3,8
ListPopulation,5,17,22,0.772727273,9,41,50,0.82,4,20,24,ListPopulation,19,0,4,5,0
NPointCrossover,1,15,16,0.9375,2,35,37,0.945945946,2,10,12,NPointCrossover,21,0,1,2,0
FixedGenerationCount,1,3,4,0.75,2,9,11,0.818181818,2,3,5,FixedGenerationCount,5,0,1,1,1
AbstractListChromosome,1,1,2,0.5,0,12,12,1,1,6,7,AbstractListChromosome,3,0,0,2,0
GeneticAlgorithm,6,12,18,0.666666667,6,39,45,0.866666667,7,14,21,GeneticAlgorithm,17,0,0,12,0
UniformCrossover,0,14,14,1,1,24,25,0.96,1,10,11,UniformCrossover,14,0,1,0,0
Frequency,9,47,56,0.839285714,11,143,154,0.928571429,8,57,65,Frequency,74,0,10,5,0
Frequency.NaturalComparator,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
StatUtils,7,23,30,0.766666667,10,80,90,0.888888889,7,42,49,StatUtils,68,0,8,7,0
Neuron.SerializationProxy,0,0,0,100,0,5,5,1,0,2,2,#N/A,0,0,0,0,0
Neuron,2,10,12,0.833333333,3,22,25,0.88,3,11,14,Neuron,17,0,0,1,0
FeatureInitializerFactory.new FeatureInitializer() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
FeatureInitializerFactory.new FeatureInitializer() {...},0,0,0,100,0,5,5,1,0,2,2,#N/A,0,0,0,0,0
Network,9,35,44,0.795454545,10,98,108,0.907407407,11,30,41,Network,47,0,1,6,0
Network.SerializationProxy,0,0,0,100,0,7,7,1,0,2,2,#N/A,0,0,0,0,0
SquareNeighbourhood,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
MapUtils,32,4,36,0.111111111,71,9,80,0.1125,21,3,24,MapUtils,3,0,41,1,0
FeatureInitializerFactory,0,0,0,100,2,4,6,0.666666667,1,3,4,FeatureInitializerFactory,5,0,1,2,0
Network.NeuronIdentifierComparator,2,2,4,0.5,0,4,4,1,2,2,4,#N/A,0,0,0,0,0
NormalApproximationInterval,0,0,0,100,0,8,8,1,0,2,2,NormalApproximationInterval,13,0,0,0,0
IntervalUtils,0,10,10,1,0,19,19,1,0,11,11,IntervalUtils,10,0,0,4,0
ClopperPearsonInterval,2,2,4,0.5,0,14,14,1,2,2,4,ClopperPearsonInterval,26,0,0,4,0
WilsonScoreInterval,0,0,0,100,0,15,15,1,0,2,2,WilsonScoreInterval,27,0,0,0,0
ConfidenceInterval,3,3,6,0.5,3,12,15,0.8,4,5,9,ConfidenceInterval,5,0,1,5,0
AgrestiCoullInterval,0,0,0,100,0,11,11,1,0,2,2,AgrestiCoullInterval,17,0,0,0,0
PolyhedronsSet.TranslationTransform,0,2,2,1,0,15,15,1,0,5,5,#N/A,0,0,0,0,0
SphericalCoordinates.DataTransferObject,0,0,0,100,0,6,6,1,0,2,2,#N/A,0,0,0,0,0
RotationOrder,0,0,0,100,0,22,22,1,0,6,6,RotationOrder,4,0,0,0,0
FieldRotation,3,105,108,0.972222222,0,431,431,1,3,88,91,FieldRotation,108,0,0,54,0
OutlineExtractor,14,0,14,0,34,0,34,0,10,0,10,OutlineExtractor,0,0,88,0,0
Vector3DFormat,1,3,4,0.75,4,19,23,0.826086957,2,9,11,Vector3DFormat,8,0,0,0,0
PolyhedronsSet.FacetsContributionVisitor,4,4,8,0.5,4,22,26,0.846153846,4,5,9,#N/A,0,0,0,0,0
Line,4,12,16,0.75,7,46,53,0.867924528,8,21,29,Line,101,0,15,27,0
SubLine,0,14,14,1,2,28,30,0.933333333,1,13,14,SubLine,41,0,0,5,0
Rotation,3,105,108,0.972222222,0,365,365,1,3,76,79,Rotation,565,0,0,61,0
Segment,0,0,0,100,0,8,8,1,0,4,4,Segment,24,0,1,2,0
PolyhedronsSet.RotationTransform,0,2,2,1,0,23,23,1,0,5,5,#N/A,0,0,0,0,0
SphereGenerator,0,8,8,1,0,62,62,1,0,7,7,SphereGenerator,15,0,0,3,0
PolyhedronsSet,29,5,34,0.147058824,48,27,75,0.36,23,10,33,PolyhedronsSet,40,0,30,6,0
SubPlane,2,16,18,0.888888889,0,44,44,1,2,11,13,SubPlane,14,0,0,5,0
Vector3D,0,46,46,1,0,142,142,1,0,71,71,Vector3D,154,0,0,15,0
Euclidean3D,0,0,0,100,0,4,4,1,0,4,4,Euclidean3D,4,0,0,0,0
NotARotationMatrixException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
Plane,3,19,22,0.863636364,26,93,119,0.781512605,11,37,48,Plane,104,0,8,12,0
CardanEulerSingularityException,0,2,2,1,0,2,2,1,0,2,2,CardanEulerSingularityException,0,0,0,1,0
OutlineExtractor.BoundaryProjector,34,0,34,0,63,0,63,0,23,0,23,#N/A,0,0,0,0,0
SphericalCoordinates,2,2,4,0.5,0,117,117,1,2,11,13,SphericalCoordinates,204,0,0,0,0
FieldVector3D,0,72,72,1,0,259,259,1,0,118,118,FieldVector3D,133,0,0,29,0
Euclidean3D.LazyHolder,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
SmallPrimes,4,30,34,0.882352941,4,53,57,0.929824561,4,18,22,SmallPrimes,31,0,2,13,2
Primes,0,26,26,1,0,29,29,1,0,16,16,Primes,33,0,0,1,0
PollardRho,22,0,22,0,60,0,60,0,14,0,14,PollardRho,0,0,43,0,0
AVLTree.Node,3,107,110,0.972727273,0,196,196,1,3,71,74,#N/A,0,0,0,0,0
AVLTree.Skew,0,0,0,100,0,4,4,1,0,1,1,#N/A,0,0,0,0,0
AVLTree,9,27,36,0.75,4,38,42,0.904761905,9,18,27,AVLTree,99,0,5,21,0
OrderedTuple,94,0,94,0,123,0,123,0,59,0,59,OrderedTuple,0,0,143,0,0
OutOfRangeException,0,0,0,100,0,8,8,1,0,4,4,OutOfRangeException,2,0,0,0,0
DimensionMismatchException,0,0,0,100,0,6,6,1,0,3,3,DimensionMismatchException,1,0,0,0,0
MaxCountExceededException,0,0,0,100,0,7,7,1,0,3,3,MaxCountExceededException,2,0,0,0,0
NoBracketingException,0,0,0,100,4,8,12,0.666666667,4,2,6,NoBracketingException,0,0,4,0,0
MathUnsupportedOperationException,0,0,0,100,3,6,9,0.666666667,3,2,5,MathUnsupportedOperationException,0,0,3,1,0
MathArithmeticException,0,0,0,100,1,10,11,0.909090909,1,4,5,MathArithmeticException,3,0,1,1,0
NotStrictlyPositiveException,0,0,0,100,0,4,4,1,0,2,2,#N/A,0,0,0,0,0
MathParseException,0,0,0,100,4,4,8,0.5,1,1,2,MathParseException,0,0,1,1,0
MathRuntimeException,0,0,0,100,7,0,7,0,4,0,4,MathRuntimeException,0,0,4,0,0
NullArgumentException,0,0,0,100,0,4,4,1,0,2,2,#N/A,0,0,0,0,0
NotPositiveException,0,0,0,100,0,4,4,1,0,2,2,#N/A,0,0,0,0,0
TooManyEvaluationsException,0,0,0,100,0,3,3,1,0,1,1,TooManyEvaluationsException,0,0,0,1,0
ZeroException,0,0,0,100,0,4,4,1,0,2,2,#N/A,0,0,0,0,0
NumberIsTooLargeException,0,2,2,1,0,8,8,1,0,5,5,NumberIsTooLargeException,2,0,0,1,0
MultiDimensionMismatchException,0,0,0,100,4,6,10,0.6,3,3,6,MultiDimensionMismatchException,2,0,2,0,0
MathIllegalArgumentException,0,0,0,100,1,6,7,0.857142857,1,3,4,MathIllegalArgumentException,1,0,1,2,0
NonMonotonicSequenceException,0,6,6,1,0,13,13,1,0,9,9,NonMonotonicSequenceException,4,0,0,4,0
NoDataException,0,0,0,100,0,4,4,1,0,2,2,#N/A,0,0,0,0,0
TooManyIterationsException,0,0,0,100,0,3,3,1,0,1,1,TooManyIterationsException,0,0,0,1,0
ConvergenceException,0,0,0,100,0,5,5,1,0,2,2,ConvergenceException,0,0,0,1,0
NotFiniteNumberException,0,0,0,100,0,4,4,1,0,2,2,#N/A,0,0,0,0,0
MathInternalError,0,0,0,100,7,0,7,0,3,0,3,MathInternalError,0,0,1,0,0
MathIllegalStateException,0,0,0,100,5,8,13,0.615384615,2,4,6,MathIllegalStateException,2,0,2,1,0
NumberIsTooSmallException,0,2,2,1,0,8,8,1,0,5,5,NumberIsTooSmallException,2,0,0,1,0
NotANumberException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
InsufficientDataException,0,0,0,100,0,4,4,1,0,2,2,#N/A,0,0,0,0,0
MathIllegalNumberException,0,0,0,100,0,5,5,1,0,3,3,MathIllegalNumberException,1,0,0,0,0
LevenbergMarquardtOptimizer,19,187,206,0.90776699,14,363,377,0.962864721,18,97,115,LevenbergMarquardtOptimizer,1041,0,13,138,2
AbstractLeastSquaresOptimizer,2,12,14,0.857142857,2,41,43,0.953488372,2,18,20,AbstractLeastSquaresOptimizer,70,2,4,7,0
GaussNewtonOptimizer,3,23,26,0.884615385,2,59,61,0.967213115,3,14,17,GaussNewtonOptimizer,100,0,3,2,2
MultivariateNormalMixtureExpectationMaximization.DataRow,4,2,6,0.333333333,6,9,15,0.6,4,4,8,#N/A,0,0,0,0,0
MultivariateNormalMixtureExpectationMaximization,3,51,54,0.944444444,3,108,111,0.972972973,3,30,33,MultivariateNormalMixtureExpectationMaximization,92,0,6,11,0
SubCircle,0,12,12,1,0,22,22,1,0,10,10,SubCircle,14,0,0,4,0
Edge,1,11,12,0.916666667,4,47,51,0.921568627,1,14,15,Edge,19,0,3,18,0
Sphere2D,0,0,0,100,1,3,4,0.75,1,3,4,Sphere2D,3,0,1,0,0
S2Point,4,16,20,0.8,1,42,43,0.976744186,4,21,25,S2Point,25,0,1,8,0
Circle,0,2,2,1,1,43,44,0.977272727,1,24,25,Circle,29,0,1,1,0
Sphere2D.LazyHolder,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
EdgesBuilder,1,23,24,0.958333333,1,52,53,0.981132075,1,18,19,EdgesBuilder,19,0,0,4,0
